description,featureType,locationPrecision,locationType,TypesOfFeature,country,noOfFeaturesBuiltByHuman,natureFeatures,continent,eras,deltaAge,reprLat,reprLong,minDate,maxDate
,unknown,rough,representative,Cultural Construction,Greece,1523,,Europe,Classical Era,670,36.75,5.75,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,37.25,6.75,-30,640
,unknown,rough,representative,Cultural Construction,India,412,,Europe,Classical Era,670,36.25,6.75,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.25,7.75,-30,640
,unknown,unlocated,representative,Cultural Construction,Pakistan,412,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Cultural Construction,Afghanistan,412,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Tajikistan,412,,Africa,Classical Era,330,,,-30,300
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,36.396812,9.145717,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,36.25,9.25,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.28825,9.130574,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.730195,10.770708,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.616011,9.568416,-30,640
,unknown,rough,representative,Small comunities,Greece,1523,,Europe,Classical Era,670,36.25,9.25,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Turkey,412,,Europe,Classical Era,670,36.499852,9.936439,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Europe,Classical Era,330,36.300619,9.507505,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Europe,Classical Era,670,36.8345,9.256019,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.716673,9.100011,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.710026,9.591841,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.640531,9.024258,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.343449,10.334501,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,670,36.126163,10.448014,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.43235,9.120605,-30,300
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,36.392998,10.562216,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.32946,10.275964,-30,300
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.75,8.25,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,37.048181,9.521675,-330,640
,unknown,rough,representative,Cultural Construction,Greece,1523,,Europe,Classical Era,630,36.75,8.75,-330,300
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,330,36.766375,9.083551,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,330,36.597924,9.181016,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.380061,9.195726,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,630,36.713866,10.315167,-330,300
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,670,36.166741,9.773609,-30,640
"Representative point location, village precision",settlement,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,36.18228,8.714315,-330,640
500K scale point location,unknown,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,670,36.045369,9.726641,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,330,36.332511,9.332566,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.433222,8.583035,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,670,37.159408,9.118354,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.894393,9.443916,-30,640
"coordinates after GeoHack, verified in Google Earth 2013.","lake,",precise,representative,Small comunities,Italy,1523,,Europe,Early Modern Era,400,37.166667,9.666667,1700,2100
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.33085,9.175157,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.287237,9.525144,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,670,36.636636,9.339372,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,36.280128,10.113359,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,36.174195,8.044696,-330,640
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,670,36.322229,9.791064,-30,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,330,36.75,9.75,-30,300
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,36.631882,9.842198,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Europe,Classical Era,970,36.475683,9.081467,-330,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,970,36.519866,9.34721,-330,640
"Representative point location, site precision",settlement,precise,representative,Big community ,Unlocated,,,Europe,Classical Era,970,36.523659,9.361747,-330,640
500K scale point location,unknown,precise,representative,"Cultural Constructions,Complex Architecure",Unlocated,,,Europe,Classical Era,970,37.16244,9.763771,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,970,37.003737,9.702008,-330,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,36.451828,8.6659,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,340,36.834925,9.940136,300,640
,unknown,rough,representative,Small comunities,Italy,1523,,Europe,,0,36.75,8.75,,
"Representative point location, site precision",settlement,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,970,36.4115,9.084255,-330,640
"Representative point location, site precision",settlement,precise,representative,Construction,Italy,1523,,Europe,Classical Era,670,36.16839,10.441259,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Construction,Unlocated,,,Europe,The Iron Age,1390,37.054967,10.061128,-750,640
,unknown,rough,representative,Construction,Italy,1523,,Europe,,0,37.25,10.25,,
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,970,36.811582,9.688235,-330,640
,unknown,rough,representative,Construction,Unlocated,,,Europe,Classical Era,670,36.75,9.75,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,340,36.151796,7.96098,300,640
500K scale point location,unknown,precise,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,970,36.872048,9.579189,-330,640
500K scale point location,unknown,precise,representative,Construction,Italy,1523,,Europe,Classical Era,970,36.569468,9.366642,-330,640
500K scale point location,unknown,precise,representative,Construction,Italy,1523,,Europe,Classical Era,970,36.510508,10.550673,-330,640
500K scale point location,unknown,precise,representative,Construction,Italy,1523,,Europe,Classical Era,970,36.112053,9.285672,-330,640
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Europe,Classical Era,670,36.33022,8.842194,-30,640
,unknown,rough,representative,Cultural Construction,Italy,1523,,Europe,Classical Era,670,36.25,9.25,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.888865,9.643071,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.946399,10.844502,-30,300
,unknown,rough,representative,Construction,Unlocated,,,Europe,Classical Era,630,37.25,11.25,-330,300
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,37,9.5,-30,640
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,37,9.5,-30,640
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,37,9.5,-30,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,37,9.5,-30,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,670,37,9.5,-30,640
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,37,9.5,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,37.25,9.25,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,37.048402,9.445923,-30,300
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,,0,36.25,9.25,,
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.75,10.25,-30,300
,unknown,rough,representative,Small comunities,Unlocated,,,Europe,Classical Era,300,36.25,10.25,-330,-30
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,36.513501,10.642624,-30,300
,unknown,rough,representative,Small comunities,Greece,1523,,Europe,Classical Era,330,36.75,9.25,-30,300
Representative location based on OpenStreetMap.,road,precise,representative,Small comunities,Unlocated,,,Europe,The Iron Age,2203,41.8922983,12.4859059,-750,1453
Representative location based on OpenStreetMap,aqueduct,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,43.9601674,4.5326336,-30,300
verified in Google Earth 2013.,"nuraghe,",precise,"representative,",Small comunities,Cyprus,1523,,Europe,The Bronze Age,1000,40.275275,8.883072,-2000,-1000
"Representative OpenStreetMap location of the so-called ""Central Church"", in the area of the ancient settlement of Apollonia (Cyrenaica), modern Marsa Susa.","basilica,",precise,representative,Cultural Construction,Greece,1523,,Africa,Classical Era,340,32.9021882,21.96812,300,640
Location based on OpenStreetMap,theatre,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,40.8082328,14.3477597,-30,300
Location based on OpenStreetMap,garden-hortus,precise,representative,Small comunities,Greece,1523,,Europe,Classical Era,630,41.90808685,12.496934,-330,300
Location based on OpenStreetMap,"palaistra,",precise,representative,Small comunities,Greece,1523,,Europe,Classical Era,330,40.7490243,14.488222,-30,300
Location based on OpenStreetMap,settlement-modern,precise,representative,Small comunities,Unlocated,,,Europe,,0,39.9186416,38.9239312,,
Representative location based on OpenStreetMap,tower-defensive,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,1190,38.06938496,23.66882033,-550,640
Representative location based on OpenStreetMap.,"villa,",precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,670,44.7426353,-1.1057862,-30,640
Representative location based on OpenStreetMap.,settlement,precise,representative,Small comunities,Unlocated,,,Africa,The Iron Age,650,31.4519221,34.4498766,-1200,-550
Representative location based on OpenStreetMap.,"hill,tumulus",precise,representative,Cultural Construction,Unlocated,,,Not enough data,The Iron Age,970,53.423287,50.1223038,-1000,-30
Representative location of moden toponym Teleilat al Ghassul based on a node derived from OpenStreetMap.,settlement-modern,precise,"representative,associated_modern",Small comunities,Unlocated,,,Africa,Early Modern Era,400,31.8,35.6,1700,2100
Location based on OpenStreetMap,"city-gate,",precise,representative,Cultural Construction,Unlocated,,,Europe,Classical Era,630,40.7533602,14.4841434,-330,300
Representative location of the modern settlement based on OpenStreetMap.,settlement-modern,precise,associated_modern,Small comunities,Greece,1523,,Africa,Early Modern Era,400,31.88891958,34.8000847,1700,2100
Representative location based on OpenStreetMap.,settlement,precise,representative,Small comunities,Unlocated,,,Europe,The Iron Age,180,36.66988,43.393924,-720,-540
Representative OpenStreetMap location of the so-called Theatre 3 in the acropolis ridge of Cyrene.,"theatre,",precise,"representative,",Landform,Unlocated,,,Africa,Classical Era,330,32.81766975,21.85799365,-30,300
"Polygon representing the location of Kecharis Monastery, derived from an OpenStreetMap Way.",abbey,precise,representative,Small comunities,Unlocated,,,Europe,Early Middle Ages ,1500,40.5339561,44.71626055,600,2100
"Polygon representing the structure of the Hovhannavank monastery, derived from an OpenStreetMap Way.",abbey,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,1800,40.33953642,44.38866611,300,2100
"Point representing the location of Gandzasar Monastery, derived from an OpenStreetMap Node.","abbey,church-2",precise,representative,Small comunities,Unlocated,,,Not enough data,High Middle Ages,900,40.0574496,46.5307343,1200,2100
"Polygon representing the location of the Makaravank' monastic complex, derived from an OpenStreetMap Way.","abbey,architecturalcomplex,church-2",precise,representative,Small comunities,Unlocated,,,Not enough data,Early Middle Ages ,1250,40.97375015,45.12709333,850,2100
Representative location based on OpenStreetMap.,island,precise,representative,Small comunities,Greece,1523,,Europe,Early Modern Era,400,38.34144189,43.03598796,1700,2100
Representative location based on OpenStreetMap.,bridge,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,42.0392114,11.8829813,-30,300
Representative location based on a node derived from OpenStreetMap.,bridge,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,42.0377163,11.8764434,-30,300
Representative location based on OpenStreetMap.,"villa,",precise,"representative,",Small comunities,Greece,1523,,Europe,Classical Era,330,43.7004351,5.7292273,-30,300
Representative location based on OpenStreetMap,settlement,precise,representative,Small comunities,Unlocated,,,Europe,The Iron Age,1050,43.3108881,2.8209355,-750,300
Location based on OpenStreetMap,"settlement,",precise,representative,Construction,Unlocated,,,Europe,The Stone Age,11453,36.8004345,34.6044045,-10000,1453
Representative location based on OpenStreetMap.,settlement,precise,representative,Construction,Unlocated,,,Europe,The Stone Age,6700,39.3552248,22.8398803,-10000,-3300
"Point representing the Google Earth location of Tell Habuba Kabira, after Strommenger et al. 2014",settlement,precise,representative,Cultural Construction,Unlocated,,,Europe,The Stone Age,2000,36.150278,38.060833,-4000,-2000
Representative location based on OpenStreetMap.,circus,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,330,32.7034218,20.9601802,-30,300
Representative location based on OpenStreetMap.,basilica,precise,representative,Construction,Unlocated,,,Africa,Classical Era,340,35.8531822,9.20789,300,640
Location based on OpenStreetMap,"city-wall,",precise,representative,Small comunities,Greece,1523,,Europe,The Iron Age,1390,41.8938656,12.5013748,-750,640
"Center point of commune Vitry-en-Perthois: France, departement Marne, arrondissement Vitry-le-FranÃ§ois, canton Vitry-le-FranÃ§ois-Est. Vitry-en-Perthois is formerly known as Vitry-le-BrÃ»lÃ©.",unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,340,48.7462,4.62617,300,640
Location based on OpenStreetMap,"fort,",precise,representative,Small comunities,Greece,1523,,Not enough data,The Bronze Age,1000,53.1255028,-9.7663386,-2000,-1000
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,33.843692,36.520816,300,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,300,32.943342,36.187397,-330,-30
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,330,33.319919,37.943925,-30,300
500K scale point location,unknown,precise,representative,"Small comunities,Port",Unlocated,,,Africa,Classical Era,670,32.979553,35.44815,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,1190,32.396984,34.873995,-550,640
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,670,34.05329,36.262503,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,970,32.402256,35.147502,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,32.701029,35.300148,-330,640
"Representative point location, site precision",settlement,precise,representative,Cultural Construction,Greece,1523,,Africa,The Iron Age,1390,32.216511,35.26293,-750,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,32.88898,36.042545,-30,640
500K scale point location,"settlement,",precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,330,33.891824,35.963634,-30,300
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,340,32.846072,36.447672,300,640
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,670,32.903344,36.600851,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,32.913205,36.707108,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,850,33.23657,35.219993,-550,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,630,32.490491,35.40025,-330,300
Location based on OpenStreetMap,"lake,",precise,representative,Cultural Construction,Greece,1523,,Africa,Early Modern Era,400,33.2290177,35.7674715,1700,2100
500K scale point location,unknown,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,970,32.713858,35.573386,-330,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,670,32.610731,37.927715,-30,640
Representative location based on OpenStreetMap.,temple-2,precise,representative,Small comunities,Greece,1523,,Africa,Classical Era,670,33.9134371,35.9902779,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,670,32.547145,34.9361,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,340,32.703652,35.175681,300,640
500K scale point location,unknown,precise,representative,Cultural construction,Unlocated,,,Africa,Classical Era,340,33.029037,35.804501,300,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Complex Architecure,Unlocated,,,Africa,Classical Era,630,32.849559,36.196729,-330,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,32.647713,36.775272,-30,640
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Africa,The Iron Age,1390,32.276529,35.190436,-750,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Cultural Construction,Turkey,412,,Africa,The Iron Age,1390,32.504649,35.504002,-750,640
500K scale point location,unknown,precise,representative,Cultural Construction,Georgia,412,,Africa,Classical Era,670,32.701249,35.219912,-30,640
"Representative point location, site precision",settlement,precise,representative,Cultural Construction,Unlocated,,,Africa,The Iron Age,1390,33.560243,35.371208,-750,640
500K scale point location,unknown,precise,representative,Big community ,Unlocated,,,Africa,Classical Era,340,33.170303,35.196158,300,640
500K scale point location,unknown,precise,representative,Small comunities,Georgia,412,,Africa,Classical Era,630,33.174125,35.636429,-330,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,The Iron Age,1390,32.370512,34.909242,-750,640
500K scale point location,unknown,precise,representative,Small comunities,Georgia,412,,Africa,Classical Era,670,32.50769,35.484281,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,32.967718,35.432983,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,32.362071,35.720469,300,640
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,32.75,35.25,300,640
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Africa,The Iron Age,200,33.25,36.5,-750,-550
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Africa,,0,33.25,36.5,,
Roughly located within a bounding box,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,33.25,36.5,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,,0,,,,
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,,,-30,300
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,,,300,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,,,-30,640
,unknown,unlocated,representative,Small comunities,Unlocated,,,Africa,,0,,,,
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,300,31.506582,35.027257,-330,-30
"Representative point location, site precision",settlement,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,31.24509,34.840792,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,32.044043,34.818554,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,31.706818,34.991895,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,30.693902,33.400187,-330,640
"Representative point location, village precision",settlement,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,31.708594,34.943987,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,31.428856,34.984878,-30,640
Representative location based on OpenStreetMap.,settlement,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,31.7804585,34.851016,-330,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,970,31.83926,34.989193,-330,640
"Representative point location, site precision",settlement,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,970,31.83933,34.989663,-330,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,340,31.212093,35.348111,300,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,30.919556,35.112228,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,31.776679,35.234156,-330,640
500K scale point location,unknown,precise,representative,Big Community,Unlocated,,,Africa,Classical Era,970,31.647111,34.869563,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,340,31.409891,35.132746,300,640
"Representative point location, site precision",fort,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,31.317111,35.353756,-330,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,31.297428,34.225777,-330,640
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,670,30.82262,35.230424,-30,640
"Representative point location, site precision",settlement,precise,representative,Construction,Unlocated,,,Africa,Classical Era,670,30.808862,35.244821,-30,640
500K scale point location,unknown,precise,representative,Cultural construction,Unlocated,,,Africa,Classical Era,970,32.010553,35.105432,-330,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Construction,Syria,412,,Africa,Classical Era,970,31.716984,35.794961,-330,640
"Representative point location, site precision",settlement,precise,representative,Water Source,Unlocated,,,Africa,Classical Era,970,31.717693,35.794078,-330,640
500K scale point location,unknown,precise,representative,Forts,Unlocated,,,Africa,Classical Era,670,30.727362,35.613726,-30,640
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Africa,Classical Era,670,30.727339,35.613703,-30,640
"Representative point location, site precision",settlement,precise,representative,Production,Turkey,412,,Africa,Classical Era,670,30.746225,35.603797,-30,640
500K scale point location,unknown,precise,representative,Cultural Construction,Greece,1523,,Africa,Classical Era,970,30.991774,35.861931,-330,640
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,,0,,,,
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,Classical Era,630,,,-330,300
1M scale point location,unknown,precise,representative,Construction,Unlocated,,,Africa,Classical Era,630,32.172783,23.410469,-330,300
500K scale point location,unknown,precise,representative,Construction,Unlocated,,,Africa,Classical Era,630,31.137006,27.884731,-330,300
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,31.5,27.5,-30,640
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,330,29.5,25.5,-30,300
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,The Iron Age,1390,30.5,26.5,-750,640
Roughly located within a bounding box,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,The Iron Age,1050,30.5,26.5,-750,300
,unknown,unlocated,representative,Construction,Unlocated,,,Africa,,0,,,,
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,330,30.687565,31.137392,-30,300
500K scale point location,unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,The Iron Age,1390,31.259561,31.570557,-750,640
,unknown,rough,representative,Construction,Unlocated,,,Africa,Classical Era,670,31.25,31.75,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,Classical Era,970,30.88758,30.573213,-330,640
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,30.75,30.25,-30,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Cultural Construction,Unlocated,,,Africa,The Iron Age,1390,30.131757,31.284786,-750,640
,unknown,rough,representative,Cultural Construction,Unlocated,,,Africa,Classical Era,670,30.25,31.25,-30,640
,unknown,rough,representative,Big community ,Unlocated,,,Africa,Classical Era,850,31.25,30.25,-550,300
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,The Iron Age,1390,31.033949,30.470267,-750,640
"Representative point location, village precision",settlement,precise,representative,Landform,Unlocated,,,Africa,The Iron Age,1390,31.033361,30.471298,-750,640
,unknown,rough,representative,Small comunities,Italy,1523,,Africa,Classical Era,670,30.25,31.75,-30,640
500K scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Africa,The Iron Age,1390,31.03333,31.283332,-750,640
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Africa,Classical Era,340,31.030815,31.281947,300,640
500K scale point location,unknown,precise,representative,Small comunities,Italy,1523,,Africa,Classical Era,330,31.233348,29.950022,-30,300
,unknown,rough,representative,Small comunities,Unlocated,,,Africa,Classical Era,670,31.25,30.75,-30,640
,unknown,rough,representative,Water Source,Unlocated,,,Africa,Classical Era,850,31.25,30.25,-550,300
,unknown,rough,representative,Small comunities,Italy,1523,,Africa,The Iron Age,1390,30.25,31.25,-750,640
"1:500,000 scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.",unknown,precise,representative,Construction,Unlocated,,,Africa,The Iron Age,1390,30.976557,32.454168,-750,640
