,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Mckee, G., J. Becker","43.3269709, 36.0983482, 43.3280652, 36.0998219",gmckee,"Polygon representing the walls of the Northwest Palace at Kalhu, derived from an OpenStreetMap Way.",architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[43.3280652, 36.0983482], [43.3269709, 36.0984002], [43.327003, 36.0997439], [43.3279257, 36.0998219], [43.3280545, 36.0998133], [43.3280652, 36.0983482]]]}",northwest-palace-palace-of-ashur-nasir-pal-ii,precise,representative,-540,-1000,36.09907384,"36.0990738405,43.3275427602",43.32754276,,EN,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east","-1000.0,-540.0",OSM location of Northwest Palace (Palace of Ashur-Nasir-Pal II),architecturalcomplex,,Kuleli?,,460,"architecturalcomplex,"
"Becker, J.","-2.8139756, 39.8859849, -2.8139756, 39.8859849",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [-2.8139756, 39.8859849]}",location-of-roman-amphitheater,precise,representative,300,-30,39.8859849,"39.8859849,-2.8139756",-2.8139756,,R,roman,"-30.0,300.0",location of Roman amphitheater,amphitheatre,,Telli Tabya kÃ¶yÃ¼,,330,"amphitheatre,"
"Becker, J., T. Elliott","7.3280095, 45.7393658, 7.3280095, 45.7393658",jbecker,Representative location based on OpenStreetMap.,arch,"{""type"": ""Point"", ""coordinates"": [7.3280095, 45.7393658]}",location-of-arch-of-augustus,precise,representative,300,-30,45.7393658,"45.7393658,7.3280095",7.3280095,,R,roman,"-30.0,300.0",OSM location of Arch of Augustus,arch,,Fil Burnu?,,330,"arch,"
"Becker, J.","-2.7206451, 51.3054023, -2.7206451, 51.3054023",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [-2.7206451, 51.3054023]}",location-of-roman-amphitheater,precise,representative,300,-30,51.3054023,"51.3054023,-2.7206451",-2.7206451,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,HunkÃ¢r Iskelesi,,330,"amphitheatre,"
"Becker, J.","16.8510347, 48.110597, 16.8510347, 48.110597",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [16.8510347, 48.110597]}",location-of-roman-amphitheater,precise,representative,300,-30,48.110597,"48.110597,16.8510347",16.8510347,,R,roman,"-30.0,300.0",location of Roman amphitheater,amphitheatre,,at Lykiou Limen,,330,"amphitheatre,"
"Becker, J.","16.8501048, 48.1092861, 16.8517355, 48.110657",jbecker,Representative location based on OpenStreetMap,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[16.8506214, 48.1092861], [16.8505594, 48.1092866], [16.8505187, 48.1093038], [16.8504875, 48.109329], [16.850384, 48.1094608], [16.8503383, 48.109519], [16.85024, 48.1096731], [16.8501349, 48.109889], [16.8501048, 48.1100584], [16.8501357, 48.110169], [16.8502553, 48.1103821], [16.8503787, 48.1104985], [16.850537, 48.110554], [16.8508937, 48.1106489], [16.8509812, 48.110657], [16.8511967, 48.1106196], [16.8512053, 48.1106174], [16.8513425, 48.1105715], [16.8513629, 48.1105639], [16.8514942, 48.1104845], [16.8515424, 48.1104488], [16.85159, 48.1104116], [16.8516175, 48.110385], [16.8516324, 48.1103688], [16.8516447, 48.1103537], [16.8516553, 48.1103405], [16.8516759, 48.1103086], [16.8517266, 48.1101718], [16.8517348, 48.1100706], [16.8517355, 48.1100221], [16.8516772, 48.1094728], [16.851584, 48.1094494], [16.8506214, 48.1092861]]]}",osm-location-of-amphitheater-zivilstadt,precise,representative,640,-30,48.10998648,"48.1099864832,16.8509609144",16.85096091,,RL,"roman,late-antique","-30.0,640.0",OSM location of Amphitheater Zivilstadt,amphitheatre,,near Maltepe,,670,"amphitheatre,"
"Elliott, T.","-6.337954, 38.916073, -6.337954, 38.916073",thomase,Digitized in Google Earth in July 2012 at an eye height of 600m.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [-6.337954, 38.916073]}",centerpoint-of-the-roman-amphitheater-at-merida,precise,representative,640,-30,38.916073,"38.916073,-6.337954",-6.337954,,RL,"roman,late-antique","-30.0,640.0",Centerpoint of the Roman Amphitheater at MÃ©rida,amphitheatre,,S VanikÃ¶y,,670,"amphitheatre,"
"Becker, J.","19.0479, 47.5676, 19.0479, 47.5676",jbecker,Coordinates following GeoHack,amphitheatre,"{""type"": ""Point"", ""coordinates"": [19.0479, 47.5676]}",location-of-roman-amphitheater-2,precise,representative,300,-30,47.5676,"47.5676,19.0479",19.0479,,R,roman,"-30.0,300.0",Imagery location of Aquincum Military Amphitheatre,amphitheatre,,BaÅŸÄ±bÃ¼yÃ¼k DaÄŸ,,330,"amphitheatre,"
"Becker, J.","12.3609851, 42.3029195, 12.3609851, 42.3029195",jbecker,Location based on OpenStreetMap,amphitheatre,"{""type"": ""Point"", ""coordinates"": [12.3609851, 42.3029195]}",location-of-roman-amphitheater,precise,representative,300,-30,42.3029195,"42.3029195,12.3609851",12.3609851,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,Pendik,,330,"amphitheatre,"
"Becker, J.","16.4388951, 43.507814, 16.4388951, 43.507814",jbecker,A third century AD fortified palace built by the emperor Diocletian. Location based on OpenStreetMap,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [16.4388951, 43.507814]}",location-of-palace-of-diocletian,precise,representative,640,-30,43.507814,"43.507814,16.4388951",16.4388951,UWHS,RL,"roman,late-antique","-30.0,640.0",OSM location of Palace of Diocletian,architecturalcomplex,,at BaltalimanÄ±,,670,"architecturalcomplex,"
"Becker, J., T. Elliott","6.6477351, 49.7469859, 6.649944, 49.7490356",jbecker,Representative location based on an OpenStreetMap relation.,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[6.6493034, 49.7469859], [6.6489135, 49.7470347], [6.6488126, 49.7470495], [6.648698, 49.7470703], [6.6486213, 49.7470853], [6.6485514, 49.7471094], [6.6484611, 49.7471434], [6.6477351, 49.7476555], [6.6477581, 49.7480436], [6.6479379, 49.7483686], [6.648167, 49.7487591], [6.6487544, 49.7490356], [6.6491587, 49.7489522], [6.6497326, 49.7488338], [6.649944, 49.7481301], [6.6497433, 49.7477121], [6.6496204, 49.7474816], [6.6494107, 49.7471436], [6.6493034, 49.7469859]]]}",location-of-roman-amphitheater,precise,representative,640,-30,49.74802081,"49.7480208088,6.64886045001",6.64886045,,RL,"roman,late-antique","-30.0,640.0",OSM location of Roman amphitheater,amphitheatre,,near Ã‡iraÄŸan,,670,"amphitheatre,"
"Mckee, G.","36.8630279, 34.8350113, 36.8646412, 34.8361466",gmckee,"Polygon representing the walls of the Royal Palace of Qatna, derived from an OpenStreetMap Way after PfÃ¤lzner and Schmid 2019.",architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[36.8632917, 34.8350113], [36.8630279, 34.8358666], [36.8643536, 34.8361466], [36.8646412, 34.8351175], [36.8643177, 34.8350467], [36.8632917, 34.8350113]]]}",royal-palace-of-qatna,precise,representative,-1000,-1600,34.83553883,"34.8355388305,36.8638644622",36.86386446,,L,later-2nd-millennium-bc-mesopotamia,"-1600.0,-1000.0",OSM location of Royal Palace of Qatna,architecturalcomplex,,Kalafat Yeri,,600,"architecturalcomplex,"
"Becker, J.","11.1591735, 42.8283826, 11.1591735, 42.8283826",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [11.1591735, 42.8283826]}",location-of-roman-amphitheater,precise,representative,300,-30,42.8283826,"42.8283826,11.1591735",11.1591735,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,BÃ¼yÃ¼k Liman,,330,"amphitheatre,"
"Becker, J.","7.0738675, 46.0945452, 7.0738675, 46.0945452",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [7.0738675, 46.0945452]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,46.0945452,"46.0945452,7.0738675",7.0738675,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,at Tarabya sarayÄ±,,330,"amphitheatre,"
"Becker, J.","7.3218748, 45.7396316, 7.3218748, 45.7396316",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Point"", ""coordinates"": [7.3218748, 45.7396316]}",location-of-roman-amphitheater,precise,representative,300,-30,45.7396316,"45.7396316,7.3218748",7.3218748,,R,roman,"-30.0,300.0",OSM location of Anfiteatro romano di Aosta,amphitheatre,,Ã‡ubuklu,,330,"amphitheatre,"
"Becker, J.","16.8541691, 48.1040976, 16.8541691, 48.1040976",jbecker,Representative location based on OpenStreetMap.,arch,"{""type"": ""Point"", ""coordinates"": [16.8541691, 48.1040976]}",location-of-heidentor,precise,representative,640,300,48.1040976,"48.1040976,16.8541691",16.8541691,,L,late-antique,"300.0,640.0",OSM location of Heidentor ,arch,,below GarpiÃ§e Burnu,,340,"arch,"
"Becker, J.","-0.980161, 37.6006455, -0.980161, 37.6006455",jbecker,Representative location based on OpenStreetMap,amphitheatre,"{""type"": ""Point"", ""coordinates"": [-0.980161, 37.6006455]}",location-of-roman-amphitheater,precise,representative,300,-30,37.6006455,"37.6006455,-0.980161",-0.980161,,R,roman,"-30.0,300.0",OSM location of Anfiteatro Romano Augusteo,amphitheatre,,bay on S side of Golden Horn,,330,"amphitheatre,"
"Becker, J.","19.039, 47.533, 19.039, 47.533",jbecker,Coordinates following GeoHack,amphitheatre,"{""type"": ""Point"", ""coordinates"": [19.039, 47.533]}",location-of-roman-amphitheater-1,precise,representative,300,-30,47.533,"47.533,19.039",19.039,,R,roman,"-30.0,300.0",Imagery location of Aquincum Civil Amphitheatre,amphitheatre,,KanlÄ±ca,,330,"amphitheatre,"
"Becker, J.","14.2892201, 32.6356516, 14.2892201, 32.6356516",jbecker,Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [14.2892201, 32.6356516]}",location-of-arch-of-septimius-severus,precise,representative,640,-30,32.6356516,"32.6356516,14.2892201",14.2892201,,RL,"roman,late-antique","-30.0,640.0",location of Arch of Septimius Severus,arch,,upper part of Golden Horn,,670,"arch,"
"Becker, J.","-4.2965029, 51.8619809, -4.2965029, 51.8619809",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [-4.2965029, 51.8619809]}",location-of-roman-amphitheater,precise,representative,300,-30,51.8619809,"51.8619809,-4.2965029",-4.2965029,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,SalÄ± pazar,,330,"amphitheatre,"
"Horne, R.","15.1641505, 37.5604049, 15.1641505, 37.5604049",rmhorne,OpenStreetMap representative point of the island chain,"archipelago,","{""type"": ""Point"", ""coordinates"": [15.1641505, 37.5604049]}",arcipelago-dei-ciclopi,precise,representative,2100,1700,37.5604049,"37.5604049,15.1641505",15.1641505,,M,modern,"1700.0,2100.0",Arcipelago dei Ciclopi,archipelago,,Ano Kotsanopoulo,,400,"archipelago,"
"Horne, R., J. Becker","15.1617131, 37.5583717, 15.1676697, 37.5622432",rmhorne,Location based on OpenStreetMap,archipelago,"{""type"": ""Polygon"", ""coordinates"": [[[15.1618762, 37.5583717], [15.1617903, 37.5583786], [15.1617326, 37.5584599], [15.1617131, 37.5584874], [15.1617217, 37.5585963], [15.161756, 37.5587188], [15.1659274, 37.5621819], [15.1662535, 37.5622432], [15.166511, 37.5621819], [15.1673865, 37.5617737], [15.1676697, 37.5614811], [15.1672578, 37.5605422], [15.1667771, 37.5600387], [15.1659188, 37.5593787], [15.1657901, 37.5593107], [15.1619363, 37.5583717], [15.1618762, 37.5583717]]]}",osm-location-of-isole-ciclopi,precise,representative,2100,1700,37.56039912,"37.5603991151,15.1655129631",15.16551296,,M,modern,"1700.0,2100.0",OSM location of Isole Ciclopi,archipelago,,Ano Rakhi,,400,"archipelago,"
"Horne, R., J. Becker","23.3167, 38.3194, 23.3167, 38.3194",rmhorne,Representative location based on GeoHack,acropolis,"{""type"": ""Point"", ""coordinates"": [23.3167, 38.3194]}",geohack-location-of-cadmea,precise,representative,-30,-750,38.3194,"38.3194,23.3167",23.3167,,ACH,"archaic,classical,hellenistic-republican","-750.0,-30.0",GeoHack location of Cadmea,acropolis,,Embesos,,720,"acropolis,"
"Becker, J.","16.5894024, 47.6928396, 16.5894024, 47.6928396",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [16.5894024, 47.6928396]}",osm-location-of-roman-amphitheater,precise,representative,640,-30,47.6928396,"47.6928396,16.5894024",16.5894024,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of Roman amphitheater,amphitheatre,,Epitaphion,,670,"amphitheatre,"
"Becker, J., T. Elliott","18.1724077, 40.3527563, 18.1724077, 40.3527563",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [18.1724077, 40.3527563]}",location-of-roman-amphitheater,precise,representative,300,-30,40.3527563,"40.3527563,18.1724077",18.1724077,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,"Kastro, fortified settlement near Thesprotiko",,330,"amphitheatre,"
"Becker, J., S. Gillies, T. Elliott","12.719722, 41.890833, 12.719722, 41.890833",jbecker,,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [12.719722, 41.890833]}",archaic-compound,precise,representative,-550,-750,41.890833,"41.890833,12.719722",12.719722,,A,archaic,"-750.0,-550.0",Imagery Location of Archaic compound,architecturalcomplex,,Barrington Atlas grid 54 D2,,200,"architecturalcomplex,"
"Becker, J.","2.8191094, 47.8726844, 2.8191094, 47.8726844",jbecker,Representative location based on OpenStreetMap,amphitheatre,"{""type"": ""Point"", ""coordinates"": [2.8191094, 47.8726844]}",location-of-gallo-roman-amphitheater,precise,representative,300,-30,47.8726844,"47.8726844,2.8191094",2.8191094,,R,roman,"-30.0,300.0",OSM location of ArÃ¨nes Gallo-Romaines,amphitheatre,,Angelokastron,,330,"amphitheatre,"
"Becker, J.","10.0219239, 44.0622822, 10.0228808, 44.0630026",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[10.0222857, 44.0622822], [10.0221562, 44.0622915], [10.0220791, 44.0623142], [10.0220178, 44.0623512], [10.0219585, 44.0624144], [10.0219239, 44.0624847], [10.0219239, 44.0625849], [10.0219743, 44.062717], [10.0220663, 44.0628285], [10.0221325, 44.0628875], [10.0222185, 44.0629457], [10.0223134, 44.0629798], [10.0224281, 44.0629997], [10.0225378, 44.0630026], [10.0226367, 44.0629869], [10.0227197, 44.0629479], [10.0227968, 44.062891], [10.0228621, 44.0627987], [10.0228808, 44.0627092], [10.0228482, 44.0626005], [10.0227859, 44.0624875], [10.0227177, 44.0624265], [10.0226406, 44.0623682], [10.0225338, 44.0623213], [10.0224123, 44.0622929], [10.0222857, 44.0622822]]]}",osm-location-of-anfiteatro-di-luni,precise,representative,300,-30,44.06263744,"44.0626374393,10.0223975559",10.02239756,,R,roman,"-30.0,300.0",OSM location of Anfiteatro di Luni,amphitheatre,,Korone,,330,"amphitheatre,"
"Becker, J.","-6.1084683, 35.1999004, -6.1084683, 35.1999004",jbecker,Location based on OpenStreetMap,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [-6.1084683, 35.1999004]}",location-of-roman-amphitheater,precise,representative,300,-30,35.1999004,"35.1999004,-6.1084683",-6.1084683,"extant remains, amphitheater",R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,Khrysovitsa,,330,"amphitheatre,"
"Becker, J.","9.2061786, 35.8553586, 9.2066996, 35.8556932",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[9.2063948, 35.8553586], [9.2063367, 35.8553619], [9.2062842, 35.8553747], [9.2062353, 35.8554007], [9.2062015, 35.8554355], [9.2061811, 35.8554662], [9.2061786, 35.8555105], [9.2061945, 35.8555561], [9.2062239, 35.8555936], [9.2062651, 35.8556269], [9.2063231, 35.8556583], [9.2063995, 35.8556844], [9.2064647, 35.8556929], [9.2065283, 35.8556932], [9.2065719, 35.8556861], [9.2066353, 35.8556638], [9.2066727, 35.8556279], [9.2066955, 35.8555899], [9.2066996, 35.8555264], [9.2066745, 35.8554766], [9.2066473, 35.8554481], [9.206599, 35.8554146], [9.2065428, 35.8553864], [9.2064639, 35.8553656], [9.2063948, 35.8553586]]]}",osm-location-of-amphitheatre-of-mactaris,precise,representative,300,-30,35.8555259,"35.8555259014,9.20643886899",9.206438869,,R,roman,"-30.0,300.0",OSM location of Amphitheatre of Mactaris,amphitheatre,530826,Argostolion,,330,"amphitheatre,"
"Elliott, T., J. Becker, S. Gillies","27.429126, 37.032062, 27.429126, 37.032062",thomase,,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [27.429126, 37.032062]}",approximate-imagery-location-of-the-palace-of-mausolos-at-bodrum,precise,,-330,-550,37.032062,"37.032062,27.429126",27.429126,,C,classical,"-550.0,-330.0",Approximate imagery location of the palace of Mausolos at Bodrum,architecturalcomplex,,Krania,,220,"architecturalcomplex,"
"Becker, J.","31.1689832, 36.9403887, 31.1689832, 36.9403887",jbecker,Location based on OpenStreetMap,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [31.1689832, 36.9403887]}",location-of-bouleuterion,precise,representative,300,-30,36.9403887,"36.9403887,31.1689832",31.1689832,,R,roman,"-30.0,300.0",OSM location of Bouleuterion,architecturalcomplex,,Akra Asprokavos,,330,"architecturalcomplex,"
"Becker, J., R. Horne","0.0147919, 40.1655529, 0.0147919, 40.1655529",jbecker,Representative location based on OpenStreetMap.,"arch,","{""type"": ""Point"", ""coordinates"": [0.0147919, 40.1655529]}",location-of-roman-arch,precise,,300,-30,40.1655529,"40.1655529,0.0147919",0.0147919,,R,roman,"-30.0,300.0",OSM location of Roman arch,arch,,(1 monument),,330,"arch,"
"Novotny, J., J. Becker","44.419699, 32.5414206, 44.4229757, 32.5433055",jnovotny,Representative location based on an OpenStreetMap way that outlines the visible remains of the palace of Nebuchadnezzar II.,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[44.419699, 32.5414206], [44.4197234, 32.5425995], [44.4224879, 32.5433055], [44.4229757, 32.5416262], [44.419699, 32.5414206]]]}",osm-location-of-babylon,precise,representative,-100,-720,32.54221838,"32.5422183791,44.421321896",44.4213219,ANE,NAH,"neo-assyrian-babylonian-middle-east,achaemenid-middle-east,hellenistic-central-asia","-720.0,-100.0",OSM location of Palace of Nebuchadnezzar II,architecturalcomplex,,Barrington Atlas grid 34 C2,,620,"architecturalcomplex,"
"Hubbard, M., H. Wilmeth, T. Orr, B. Torres, A. Rabinowitz","25.163078, 35.298042, 25.163078, 35.298042","mhubbard, hwilmeth","Location of the Throne Room in the ""Palace of Minos"", determined by the comparison of satellite imagery with published plans.","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [25.163078, 35.298042]}",throne-room-at-knossos,precise,representative,-1080,-2000,35.298042,"35.298042,25.163078",25.163078,"Palace, Minoans",ML,"middleminoan,late-minoan","-2000.0,-1080.0","Imagery location of Throne Room in ""Palace of Minos""",architecturalcomplex,,"(1 bath, 1 cemetery)",,920,"architecturalcomplex,"
"Becker, J.","10.7912831, 35.2118299, 10.7912831, 35.2118299",jbecker,Representative location based on a node derived from OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [10.7912831, 35.2118299]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,35.2118299,"35.2118299,10.7912831",10.7912831,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,"(1 bath, 1 cemetery)",,330,"amphitheatre,"
"Mckee, G.","31.2192031, 29.8664033, 31.2192031, 29.8664033",gmckee,"Point representing the location of Deir Apa Jeremiah, derived from an OpenStreetMap Node.",abbey,"{""type"": ""Point"", ""coordinates"": [31.2192031, 29.8664033]}",deir-apa-jeremiah,precise,representative,850,300,29.8664033,"29.8664033,31.2192031",31.2192031,,LE,"late-antique,early-byzantine","300.0,850.0",OSM location of Deir Apa Jeremiah,abbey,,"(1 bath, 1 cemetery)",,550,"abbey,"
"Becker, J.","28.952606, 41.0175222, 28.952606, 41.0175222",jbecker,Location based on OpenStreetMap,aqueduct,"{""type"": ""Point"", ""coordinates"": [28.952606, 41.0175222]}",location-of-valens-aqueduct,precise,representative,1453,300,41.0175222,"41.0175222,28.952606",28.952606,,LM,"late-antique,mediaeval-byzantine","300.0,1453.0",OSM location of Valens Aqueduct,aqueduct,,"(6 monuments, 1 wall, 1 aqueduct)",,1153,"aqueduct,"
"Vitale, V.","21.9661184, 32.9019862, 21.9661184, 32.9019862",vvitale,Representative OpenStreetMap location of the ruins of the so-called West Gate in Apollonia (modern Marsa Susa).,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [21.9661184, 32.9019862]}",west-gate,precise,representative,640,-30,32.9019862,"32.9019862,21.9661184",21.9661184,,R,roman-early-empire-late-antique,"-30.0,640.0",OSM location of the so-called West Gate in Apollonia,architecturalcomplex,,near Kariatissa,,670,"architecturalcomplex,"
"Becker, J.","12.5748768, 43.3502672, 12.5748768, 43.3502672",jbecker,Representative location based on OpenStreetMap.,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [12.5748768, 43.3502672]}",location-of-area-della-guastuglia,precise,representative,640,-330,43.3502672,"43.3502672,12.5748768",12.5748768,,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",OSM location of Area della Guastuglia,architecturalcomplex,,Mt. Titaros,,970,"architecturalcomplex,"
"Becker, J.","9.2168392, 36.4232054, 9.2168392, 36.4232054",jbecker,Location based on OpenStreetMap,"arch,","{""type"": ""Point"", ""coordinates"": [9.2168392, 36.4232054]}",location-of-arch-of-alexander-severus,precise,representative,300,-30,36.4232054,"36.4232054,9.2168392",9.2168392,,R,roman,"-30.0,300.0",OSM location of Arch of Alexander Severus,arch,,"VitoliÅ¡te, settlement and mine MAC",,330,"arch,"
"Mursinna, R., J. Becker","23.1815881, 38.4851875, 23.1824707, 38.4858534",rmursinna,Representative location based on OpenStreetMap.,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[23.1821748, 38.4851875], [23.1816506, 38.4855731], [23.1815881, 38.4857776], [23.1819243, 38.4858429], [23.1822891, 38.4858534], [23.1823857, 38.4858324], [23.1824707, 38.4852176], [23.1821748, 38.4851875]]]}",osm-location-of-l-shaped-palace-at-gla,precise,representative,-1200,-1600,38.4855849,"38.4855848981,23.1820956781",23.18209568,,L,late-helladic,"-1600.0,-1200.0",OSM location of L-shaped palace at Gla,architecturalcomplex,,Pieria,,400,"architecturalcomplex,"
"Dzhigova, D., J. Becker, G. Moss","23.7264872, 37.9707798, 23.7264872, 37.9707798",ddzhigova,Representative location based on OpenStreetMap.,"architecturalcomplex,fountain,stoa,sanctuary,","{""type"": ""Point"", ""coordinates"": [23.7264872, 37.9707798]}",osm-location-of-the-sanctuary-of-asklepios-at,precise,representative,-330,-550,37.9707798,"37.9707798,23.7264872",23.7264872,,C,classical,"-550.0,-330.0",OSM location of the Sanctuary of Asklepios at Athens,"architecturalcomplex,fountain,stoa,sanctuary",,"Arriana, BUL",,220,"architecturalcomplex,fountain,stoa,sanctuary,"
"Vitale, V., J. Becker","14.4888769, 40.7483489, 14.4888769, 40.7483489",vvitale,Location based on OpenStreetMap,"architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [14.4888769, 40.7483489]}",quadriportico-dei-teatri,precise,representative,300,-330,40.7483489,"40.7483489,14.4888769",14.4888769,,H,hellenistic-roman-early-empire,"-330.0,300.0","OSM location of so-called ""Quadriportico dei Teatri""",architecturalcomplex,,"Batak, BUL",,630,"architecturalcomplex,"
"Becker, J.","14.9162597, 41.8055097, 14.9162597, 41.8055097",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Point"", ""coordinates"": [14.9162597, 41.8055097]}",osm-location-of-anfiteatro-romano,precise,representative,300,-30,41.8055097,"41.8055097,14.9162597",14.9162597,,R,roman,"-30.0,300.0",OSM location of Anfiteatro Romano,amphitheatre,,Kastrazarba BUL,,330,"amphitheatre,"
"Becker, J.","9.6812352, 36.9728486, 9.6820023, 36.9735107",jbecker,Representative location based on OpenStreetMap.,amphitheatre,"{""type"": ""Polygon"", ""coordinates"": [[[9.6816268, 36.9728486], [9.6815758, 36.9728614], [9.6814792, 36.9729107], [9.6813934, 36.97296], [9.6813156, 36.973065], [9.6812593, 36.973155], [9.6812352, 36.9732471], [9.6812459, 36.9733071], [9.6813156, 36.9733864], [9.681431, 36.9734357], [9.6815517, 36.9734807], [9.681667, 36.9735107], [9.6817636, 36.9734829], [9.6819003, 36.9733907], [9.6819406, 36.9733414], [9.6819835, 36.9732879], [9.6820023, 36.9731143], [9.6819513, 36.9730307], [9.6818762, 36.9729471], [9.6817716, 36.9729021], [9.6816268, 36.9728486]]]}",osm-location-of-thizica-roman-amphitheater,precise,representative,300,-30,36.97318747,"36.9731874701,9.68162602637",9.681626026,,R,roman,"-30.0,300.0",OSM location of Thizica Roman Amphitheater,amphitheatre,501597,Kamariotissa,,330,"amphitheatre,"
"Becker, J.","13.197883, 37.967525, 13.197883, 37.967525",jbecker,Representative location based on OpenStreetMap,architecturalcomplex,"{""type"": ""Point"", ""coordinates"": [13.197883, 37.967525]}",osm-location-of-bouleuterion,precise,representative,-30,-330,37.967525,"37.967525,13.197883",13.197883,,H,hellenistic-republican,"-330.0,-30.0",OSM location of Bouleterion di Monte Iato,architecturalcomplex,,2 miles W Mese,,300,"architecturalcomplex,"
"Becker, J.","-2.8878093, 53.1892233, -2.8878093, 53.1892233",jbecker,The Roman amphitheater at Deva was the largest military amphitheater in Britain. Location based on OpenStreetMap.,amphitheatre,"{""type"": ""Point"", ""coordinates"": [-2.8878093, 53.1892233]}",location-of-roman-amphitheater,precise,representative,300,-30,53.1892233,"53.1892233,-2.8878093",-2.8878093,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,Strymonikos?,,330,"amphitheatre,"
"Vanderbilt, S., J. Becker","-2.886944, 53.189167, -2.886944, 53.189167",sarcanon,"Coordinates following GeoHack, verified in Google Earth 2016.",amphitheatre,"{""type"": ""Point"", ""coordinates"": [-2.886944, 53.189167]}",center-of-amphitheatre,precise,central_point,300,-30,53.189167,"53.189167,-2.886944",-2.886944,,R,roman,"-30.0,300.0",Imagery location of Centerpoint of amphitheatre,amphitheatre,,S Philippi,,330,"amphitheatre,"
"Vitale, V., J. Becker","21.9698999, 32.9025911, 21.9698999, 32.9025911",vvitale,"Representative OpenStreetMap location of the ruins in the area west of the East Church in the ancient settlement of Apollonia (Cyrenaica), modern Marsa Susa. ","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [21.9698999, 32.9025911]}",residential-insula,precise,representative,640,300,32.9025911,"32.9025911,21.9698999",21.9698999,,L,late-antique,"300.0,640.0",OSM location of the so-called Residential Insula,architecturalcomplex,,near Karyane,,340,"architecturalcomplex,"
